ID TIME ETH
11 19334.483 30.793034697430876037
11 19339.493 30.793034697430876037
11 19344.696 30.793034697430876037
11 19349.979 30.793034697430876037
11 19355.437 30.793034697430876037
11 19360.672 30.793034697430876037
11 19366.17 30.793034697430876037
11 19371.362 30.793034697430876037
11 19376.941 30.793034697430876037
11 19381.965 30.793034697430876037
11 19387.033 30.793034697430876037
11 19392.071 30.793034697430876037
11 19397.167 30.793034697430876037
11 19402.275 30.793034697430876037
11 19407.378 30.793034697430876037
11 19412.465 30.793034697430876037
11 19417.54 30.793034697430876037
11 19422.553 30.793034697430876037
11 19427.934 30.793034697430876037
11 19432.952 30.793034697430876037
11 19438.119 30.793034697430876037
11 19443.176 30.793034697430876037
11 19448.283 30.793034697430876037
11 19453.374 30.793034697430876037
11 19458.54 30.793034697430876037
11 19463.639 30.793034697430876037
11 19468.744 30.793034697430876037
11 19473.778 30.793034697430876037
11 19478.894 30.793034697430876037
11 19484.032 30.793034697430876037
11 19489.197 30.793034697430876037
11 19494.27 30.793034697430876037
11 19499.608 30.793034697430876037
11 19504.64 30.793034697430876037
11 19509.789 30.793034697430876037
11 19515.094 30.793034697430876037
11 19520.226 30.793034697430876037
11 19525.256 30.793034697430876037
11 19530.355 30.793034697430876037
11 19535.459 30.793034697430876037
11 19540.56 30.793034697430876037
11 19545.664 30.793034697430876037
11 19550.762 30.793034697430876037
11 19555.804 30.793034697430876037
11 19560.855 30.793034697430876037
11 19565.958 30.793034697430876037
11 19571.04 30.793034697430876037
11 19576.058 30.793034697430876037
11 19581.151 30.793034697430876037
11 19586.26 30.793034697430876037
11 19591.36 30.793034697430876037
11 19596.459 30.793034697430876037
11 19601.543 30.793034697430876037
11 19606.562 30.793034697430876037
11 19611.657 30.793034697430876037
11 19616.857 30.793034697430876037
11 19621.956 30.793034697430876037
11 19627.04 30.793034697430876037
11 19632.054 30.793034697430876037
11 19637.159 30.793034697430876037
11 19642.185 30.793034697430876037
11 19647.303 30.793034697430876037
11 19652.355 30.793034697430876037
11 19657.512 30.793034697430876037
11 19662.548 30.793034697430876037
11 19667.816 30.793034697430876037
11 19672.841 30.793034697430876037
11 19677.849 30.793034697430876037
11 19683.052 30.793034697430876037
11 19688.139 30.793034697430876037
11 19693.151 30.793034697430876037
11 19698.424 30.793034697430876037
11 19703.694 30.793034697430876037
11 19708.745 30.793034697430876037
11 19713.762 30.793034697430876037
11 19718.85 30.793034697430876037
11 19723.862 30.793034697430876037
11 19728.874 30.793034697430876037
11 19734.031 30.793034697430876037
11 19739.044 30.793034697430876037
11 19744.164 30.793034697430876037
11 19749.252 30.793034697430876037
11 19754.359 30.793034697430876037
11 19759.465 30.793034697430876037
11 19764.695 30.793034697430876037
11 19769.771 30.793034697430876037
11 19774.861 30.793034697430876037
11 19780.026 30.793034697430876037
11 19785.169 30.793034697430876037
11 19790.238 30.793034697430876037
11 19795.277 30.793034697430876037
11 19800.43 30.793034697430876037
11 19805.445 30.793034697430876037
11 19810.463 30.793034697430876037
11 19815.553 30.793034697430876037
11 19820.732 30.793034697430876037
11 19825.748 30.793034697430876037
11 19830.86 30.793034697430876037
11 19835.932 30.793034697430876037
11 19841.141 30.793034697430876037
11 19846.358 30.793034697430876037
11 19851.552 30.793034697430876037
11 19856.584 30.793034697430876037
11 19861.706 30.793034697430876037
11 19866.739 30.793034697430876037
11 19871.841 30.793034697430876037
11 19876.927 30.793034697430876037
11 19881.996 30.793034697430876037
11 19887.047 30.793034697430876037
11 19892.1 30.793034697430876037
11 19897.341 30.793034697430876037
11 19902.364 30.793034697430876037
11 19907.442 30.793034697430876037
11 19912.484 30.793034697430876037
11 19917.81 30.793034697430876037
11 19923.062 30.793034697430876037
11 19928.084 30.793034697430876037
11 19933.637 30.793034697430876037
11 19938.904 30.793034697430876037
11 19944.104 30.793034697430876037
11 19949.119 30.793034697430876037
11 19954.385 30.793034697430876037
11 19959.666 30.793034697430876037
11 19965.039 30.793034697430876037
11 19971.168 30.793034697430876037
11 19976.268 30.793034697430876037
11 19981.686 30.793034697430876037
11 19987.147 30.793034697430876037
11 19992.729 30.793034697430876037
11 19997.881 30.793034697430876037
11 20003.004 30.793034697430876037
11 20008.415 30.793034697430876037
11 20013.909 30.793034697430876037
11 20019.389 30.793034697430876037
11 20024.646 30.793034697430876037
11 20030.534 30.793034697430876037
11 20035.664 30.793034697430876037
11 20040.714 30.793034697430876037
11 20045.754 30.793034697430876037
11 20050.94 30.793034697430876037
11 20056.374 30.793034697430876037
11 20061.803 30.793034697430876037
11 20066.991 30.793034697430876037
11 20072.142 30.793034697430876037
11 20077.445 30.793034697430876037
11 20082.671 30.793034697430876037
11 20087.691 30.793034697430876037
11 20093.34 30.793034697430876037
11 20098.599 30.793034697430876037
11 20103.715 30.793034697430876037
11 20108.749 30.793034697430876037
11 20113.778 30.793034697430876037
11 20118.83 30.793034697430876037
11 20124.123 30.793034697430876037
11 20129.148 30.793034697430876037
11 20134.228 30.793034697430876037
11 20139.261 30.793034697430876037
11 20144.358 30.793034697430876037
11 20149.451 30.793034697430876037
11 20154.542 30.793034697430876037
11 20159.717 30.793034697430876037
11 20164.76 30.793034697430876037
11 20169.874 30.793034697430876037
11 20174.948 30.793034697430876037
11 20180.042 30.793034697430876037
11 20185.185 30.793034697430876037
11 20190.449 30.793034697430876037
11 20195.733 30.793034697430876037
11 20200.757 30.793034697430876037
11 20205.836 30.793034697430876037
11 20210.99 30.793034697430876037
11 20216.109 30.793034697430876037
11 20221.115 30.793034697430876037
11 20226.14 30.793034697430876037
11 20231.158 30.793034697430876037
11 20236.218 30.793034697430876037
11 20241.484 30.793034697430876037
11 20246.547 30.793034697430876037
11 20251.643 30.793034697430876037
11 20256.655 30.793034697430876037
11 20261.75 30.793034697430876037
11 20267.0 30.793034697430876037
11 20272.056 30.793034697430876037
11 20277.143 30.793034697430876037
11 20282.158 30.793034697430876037
11 20287.259 30.793034697430876037
11 20292.511 20.862023131620584025
11 20297.565 20.862023131620584025
11 20302.641 20.862023131620584025
11 20307.808 20.862023131620584025
11 20312.836 20.862023131620584025
11 20317.966 20.862023131620584025
11 20323.007 30.793034697430876037
11 20328.019 30.793034697430876037
11 20333.058 30.793034697430876037
11 20338.323 30.793034697430876037
11 20343.424 30.793034697430876037
11 20348.864 30.793034697430876037
11 20353.955 30.793034697430876037
